Year,County,N_AAU,N_Pasture,N_Hay,N_Grass_silage,N_Horticulture,N_Cereals,N_Rough_grazing,N_Grassland,A_AAU,A_Pastures,A_Hay,A_Grass_Silage,A_Horticulture,A_Cereals,A_Rough_Grazing,A_Grassland
2020,Kilkenny,3573.0,2998,820.0,2618.0,894.0,592.0,421.0,3527,163342.8,84921,5002.8,52614.4,4549.5,13223.1,3031.7,145570
2020,Kerry,8207.0,6690,1500.0,5309.0,635.0,105.0,3079.0,8197,288624.2,132513,6885.0,67850.1,766.4,1997.5,78612.5,285860
2020,Longford,2515.0,2206,526.0,2003.0,500.0,24.0,458.0,2507,71084.7,41625,2368.6,22364.7,805.2,294.3,3627.3,69985
2020,Louth,1628.0,1242,356.0,974.0,416.0,469.0,227.0,1541,61473.3,23885,2262.1,13120.3,4395.5,15765.5,2045.0,41312
2020,Limerick,5630.0,4821,1473.0,4189.0,429.0,44.0,849.0,5618,203731.5,116415,8858.0,68732.1,683.1,844.3,8199.2,202204
2020,Laois,3203.0,2633,724.0,2256.0,786.0,645.0,415.0,3141,121700.7,59710,4958.4,35675.4,3475.4,14679.8,3202.2,103546
2020,Meath,4505.0,3694,917.0,2755.0,985.0,598.0,432.0,4399,197366.2,96485,7433.7,49139.0,11645.7,28254.6,4407.8,157466
2020,Monaghan,4477.0,3816,594.0,3607.0,430.0,29.0,766.0,4450,104046.3,57512,2597.9,38411.0,578.2,294.8,4652.9,103173
2020,Mayo,11920.0,9569,1339.0,8418.0,1147.0,32.0,3766.0,11907,279319.3,147923,4862.2,74386.3,1281.9,305.8,50560.3,277732
2020,Offaly,3298.0,2781,836.0,2431.0,782.0,447.0,548.0,3282,123851.8,66014,5362.7,36912.1,2764.6,8691.5,4107.1,112396
2020,Roscommon,6089.0,5182,1443.0,4728.0,938.0,44.0,1356.0,6081,168541.1,97926,6393.4,50293.3,1385.5,568.8,11974.0,166587
2020,Sligo,4181.0,3535,703.0,2989.0,376.0,8.0,1022.0,4179,113323.8,68051,2878.5,27977.0,464.4,95.0,13858.3,112764
2020,Tipperary,7404.0,6373,1561.0,5237.0,1190.0,670.0,1034.0,7328,312355.8,177604,9589.3,91316.7,5027.6,19632.1,9186.2,287696
2020,Waterford,2600.0,2143,437.0,1754.0,485.0,245.0,475.0,2580,122230.8,67425,2770.7,36328.6,2798.3,6463.3,6445.4,112969
2020,Wicklow,2456.0,2051,519.0,1396.0,601.0,349.0,622.0,2417,103225.1,53511,3937.3,22749.7,3235.6,10726.5,9065.5,89263
2020,Westmeath,3437.0,2915,690.0,2437.0,735.0,195.0,586.0,3422,130918.2,75817,4670.5,37475.0,2635.9,4538.5,5781.0,123744
2020,Wexford,4330.0,3388,1127.0,2740.0,1752.0,1656.0,523.0,4142,181200.8,73313,7599.6,42534.2,12008.0,42660.1,3086.0,126533
